branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-18,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-19,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-2,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-20,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-21,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-22,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-23,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-24,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-25,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-26,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-27,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-28,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-29,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-30,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-31,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-32,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-33,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-34,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-35,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-36,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-37,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-38,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-39,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-4,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-40,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-41,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-42,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-43,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-44,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-45,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-46,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-47,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-48,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-49,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-5,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-50,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-51,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-52,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-53,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-54,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-55,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-56,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-57,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-58,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-59,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-6,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-60,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-61,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-62,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-63,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-64,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-65,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-66,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-67,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-68,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-69,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-70,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-8,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-2-brief-9,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-0,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-1,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-10,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-11,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-12,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-14,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-15,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-17,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-18,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-19,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-2,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-20,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-21,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-22,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-23,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-24,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-25,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-26,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-27,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-28,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-29,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-30,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-31,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-32,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-33,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-34,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-35,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-36,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-37,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-38,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-39,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-4,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-40,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-41,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-42,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-43,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-44,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-45,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-46,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-47,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-48,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-5,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-6,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-8,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-20-26-49-qr_v2/worker-3-brief-9,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-0,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-1,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-10,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-12,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-14,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-15,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-17,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-18,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-19,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-2,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-20,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-21,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-22,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-23,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-24,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-25,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-26,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-27,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-29,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-36,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-37,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-39,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-4,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-40,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-41,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-42,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-43,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-45,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-46,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-47,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-48,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-49,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-5,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-50,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-51,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-52,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-53,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-54,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-55,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-6,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-8,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-0-brief-9,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-0,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-1,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-10,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-12,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-14,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-15,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-17,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-18,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-19,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-2,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-20,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-21,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-22,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-23,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-25,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-26,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-28,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-31,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-35,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-36,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-37,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-38,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-39,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-4,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-40,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-41,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-42,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-43,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-44,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-45,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-46,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-47,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-48,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-49,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-5,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-50,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-51,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-52,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-53,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-6,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-8,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-1-brief-9,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-0,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-1,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-10,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-12,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-15,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-17,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-18,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-19,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-2,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-20,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-21,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-22,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-23,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-24,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-25,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-26,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-27,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-28,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-29,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-30,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-31,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-32,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-34,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-39,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-4,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-42,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-46,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-48,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-49,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-5,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-50,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-51,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-52,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-53,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-54,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-55,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-56,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-57,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-58,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-59,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-63,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-67,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-69,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-8,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-2-brief-9,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-3-brief-0,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-3-brief-1,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-20-22-03-57-qr_v2/worker-3-brief-10,0,0,0.00,0,0,+0.00
